Niemcy,Peacock,2003-07-12,10250,"1 552,60"
Niemcy,Leverling,2003-07-15,10251,"654,06"
Niemcy,Peacock,2003-07-11,10252,"3 597,90"
Niemcy,Leverling,2003-07-16,10253,"1 444,80"
Niemcy,Leverling,2003-07-17,10256,"517,80"
Niemcy,Peacock,2003-07-22,10257,"1 119,90"
Niemcy,Davolio,2003-07-23,10258,"1 614,88"
Niemcy,Peacock,2003-07-25,10259,"100,80"
Niemcy,Peacock,2003-07-29,10260,"1 504,65"
Niemcy,Peacock,2003-07-30,10261,"448,00"
Niemcy,Callahan,2003-07-25,10262,"584,00"
Niemcy,Fuller,2003-08-12,10265,"1 176,00"
Niemcy,Leverling,2003-07-31,10266,"346,56"
Niemcy,Peacock,2003-08-06,10267,"3 536,60"
Niemcy,Callahan,2003-08-02,10268,"1 101,20"
Niemcy,Davolio,2003-08-02,10270,"1 376,00"
Niemcy,Leverling,2003-08-12,10273,"2 037,28"
Niemcy,Davolio,2003-08-09,10275,"291,84"
Niemcy,Callahan,2003-08-14,10276,"420,00"
Niemcy,Fuller,2003-08-13,10277,"1 200,80"
Niemcy,Callahan,2003-08-16,10278,"1 488,80"
Niemcy,Callahan,2003-08-16,10279,"351,00"
Niemcy,Fuller,2003-09-12,10280,"613,20"
Niemcy,Peacock,2003-08-21,10281,"86,50"
Niemcy,Peacock,2003-08-21,10282,"155,40"
Niemcy,Leverling,2003-08-23,10283,"1 414,80"
Niemcy,Peacock,2003-08-27,10284,"1 170,37"
Niemcy,Davolio,2003-08-26,10285,"1 743,36"
Niemcy,Callahan,2003-08-30,10286,"3 016,00"
Niemcy,Callahan,2003-08-28,10287,"819,00"
Niemcy,Peacock,2003-09-03,10288,"80,10"
Niemcy,Callahan,2003-09-03,10290,"2 169,00"
Niemcy,Davolio,2003-09-02,10292,"1 296,00"
Niemcy,Davolio,2003-09-11,10293,"848,70"
Niemcy,Peacock,2003-09-05,10294,"1 887,60"
Niemcy,Fuller,2003-09-10,10295,"121,60"
Niemcy,Peacock,2003-09-13,10299,"349,50"
Niemcy,Fuller,2003-09-18,10300,"608,00"
Niemcy,Callahan,2003-09-17,10301,"755,00"
Niemcy,Peacock,2003-10-09,10302,"2 708,80"
